Protein ID,Protein Group,SubGroup,Protein,Entry Name,Gene Names,Protein Length,Coverage,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Unique Stripped Peptides,Summarized Total Spectral Count,Summarized Unique Spectral Count,Summarized Razor Spectral Count,Indistinguishable Proteins
Q9Y316,3429,a,sp|Q9Y316|MEMO1_HUMAN,MEMO1_HUMAN,MEMO1,297,53.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein MEMO1,1.0,0.999,11,180,180,180,
Q9Y320,3430,a,sp|Q9Y320|TMX2_HUMAN,TMX2_HUMAN,TMX2,296,26.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Thioredoxin-related transmembrane protein 2,1.0,0.999,7,74,74,74,
Q9Y333,3431,a,sp|Q9Y333|LSM2_HUMAN,LSM2_HUMAN,LSM2,95,61.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,U6 snRNA-associated Sm-like protein LSm2,1.0,0.999,4,81,81,81,
Q9Y371,3432,a,sp|Q9Y371|SHLB1_HUMAN,SHLB1_HUMAN,SH3GLB1,365,49.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Endophilin-B1,1.0,0.999,17,278,274,278,
Q9Y375,3433,a,sp|Q9Y375|CIA30_HUMAN,CIA30_HUMAN,NDUFAF1,327,15.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Complex I intermediate-associated protein 30, mitochondrial",1.0,0.9986,4,3,3,3,
Q9Y394,3434,a,sp|Q9Y394|DHRS7_HUMAN,DHRS7_HUMAN,DHRS7,339,23.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Dehydrogenase/reductase SDR family member 7,1.0,0.999,9,109,109,109,
Q9Y399,3435,a,sp|Q9Y399|RT02_HUMAN,RT02_HUMAN,MRPS2,296,24.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,"28S ribosomal protein S2, mitochondrial",1.0,0.999,8,68,68,68,
Q9Y3A5,3436,a,sp|Q9Y3A5|SBDS_HUMAN,SBDS_HUMAN,SBDS,250,50.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ribosome maturation protein SBDS,1.0,0.999,15,279,279,279,
Q9Y3B2,3437,a,sp|Q9Y3B2|EXOS1_HUMAN,EXOS1_HUMAN,EXOSC1,195,24.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Exosome complex component CSL4,1.0,0.999,4,39,39,39,
Q9Y3B3,3438,a,sp|Q9Y3B3|TMED7_HUMAN,TMED7_HUMAN,TMED7,224,34.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transmembrane emp24 domain-containing protein 7,1.0,0.999,9,92,92,92,
Q9Y3B4,3439,a,sp|Q9Y3B4|SF3B6_HUMAN,SF3B6_HUMAN,SF3B6,125,46.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Splicing factor 3B subunit 6,1.0,0.999,6,46,46,46,
Q9Y3B7,3440,a,sp|Q9Y3B7|RM11_HUMAN,RM11_HUMAN,MRPL11,192,30.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,"39S ribosomal protein L11, mitochondrial",1.0,0.999,4,7,7,7,
Q9Y3B8,3441,a,sp|Q9Y3B8|ORN_HUMAN,ORN_HUMAN,REXO2,237,26.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Oligoribonuclease, mitochondrial",1.0,0.999,7,42,42,42,
Q9Y3B9,3442,a,sp|Q9Y3B9|RRP15_HUMAN,RRP15_HUMAN,RRP15,282,33.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,RRP15-like protein,1.0,0.999,12,137,137,137,
Q9Y3C1,3443,a,sp|Q9Y3C1|NOP16_HUMAN,NOP16_HUMAN,NOP16,178,46.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nucleolar protein 16,1.0,0.999,7,103,103,103,
Q9Y3C4,3444,a,sp|Q9Y3C4|TPRKB_HUMAN,TPRKB_HUMAN,TPRKB,175,50.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,EKC/KEOPS complex subunit TPRKB,1.0,0.999,6,68,44,68,
Q9Y3C6,3445,a,sp|Q9Y3C6|PPIL1_HUMAN,PPIL1_HUMAN,PPIL1,166,36.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Peptidyl-prolyl cis-trans isomerase-like 1,1.0,0.999,5,87,87,87,
Q9Y3C8,3446,a,sp|Q9Y3C8|UFC1_HUMAN,UFC1_HUMAN,UFC1,167,21.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin-fold modifier-conjugating enzyme 1,1.0,0.999,4,34,34,34,
Q9Y3D3,3447,a,sp|Q9Y3D3|RT16_HUMAN,RT16_HUMAN,MRPS16,137,33.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,"28S ribosomal protein S16, mitochondrial",1.0,0.999,3,37,37,37,
Q9Y3D6,3448,a,sp|Q9Y3D6|FIS1_HUMAN,FIS1_HUMAN,FIS1,152,16.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitochondrial fission 1 protein,1.0,0.999,3,52,52,52,
Q9Y3D8,3449,a,sp|Q9Y3D8|KAD6_HUMAN,KAD6_HUMAN,AK6,172,19.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Adenylate kinase isoenzyme 6,1.0,0.999,3,16,16,16,
Q9Y3D9,3450,a,sp|Q9Y3D9|RT23_HUMAN,RT23_HUMAN,MRPS23,190,37.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,"28S ribosomal protein S23, mitochondrial",1.0,0.999,7,32,32,32,
Q9Y3E0,3451,a,sp|Q9Y3E0|GOT1B_HUMAN,GOT1B_HUMAN,GOLT1B,138,26.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Vesicle transport protein GOT1B,1.0,0.999,4,79,79,79,
Q9Y3E5,3452,a,sp|Q9Y3E5|PTH2_HUMAN,PTH2_HUMAN,PTRH2,179,46.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Peptidyl-tRNA hydrolase 2, mitochondrial",1.0,0.999,6,97,97,97,
Q9Y3F4,3453,a,sp|Q9Y3F4|STRAP_HUMAN,STRAP_HUMAN,STRAP,350,68.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine-threonine kinase receptor-associated protein,1.0,0.999,20,361,361,361,
Q9Y3I0,3454,a,sp|Q9Y3I0|RTCB_HUMAN,RTCB_HUMAN,RTCB,505,60.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,tRNA-splicing ligase RtcB homolog,1.0,0.999,27,584,584,584,
Q9Y3I1,3455,a,sp|Q9Y3I1|FBX7_HUMAN,FBX7_HUMAN,FBXO7,522,18.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,F-box only protein 7,1.0,0.999,6,48,48,48,
Q9Y3P9,3456,a,sp|Q9Y3P9|RBGP1_HUMAN,RBGP1_HUMAN,RABGAP1,1069,19.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Rab GTPase-activating protein 1,1.0,0.999,17,137,102,137,
Q9Y3Q8,3457,a,sp|Q9Y3Q8|T22D4_HUMAN,T22D4_HUMAN,TSC22D4,395,11.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,TSC22 domain family protein 4,1.0,0.999,3,9,9,9,
Q9Y3T9,3458,a,sp|Q9Y3T9|NOC2L_HUMAN,NOC2L_HUMAN,NOC2L,749,23.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nucleolar complex protein 2 homolog,1.0,0.999,19,225,224,225,
Q9Y3U8,3459,a,sp|Q9Y3U8|RL36_HUMAN,RL36_HUMAN,RPL36,105,41.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,60S ribosomal protein L36,1.0,0.999,7,92,92,92,
Q9Y3X0,3460,a,sp|Q9Y3X0|CCDC9_HUMAN,CCDC9_HUMAN,CCDC9,531,22.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Coiled-coil domain-containing protein 9,1.0,0.999,10,65,65,65,
Q9Y3Y2,3461,a,sp|Q9Y3Y2|CHTOP_HUMAN,CHTOP_HUMAN,CHTOP,248,24.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Chromatin target of PRMT1 protein,1.0,0.999,5,57,57,57,
Q9Y3Z3,3462,a,sp|Q9Y3Z3|SAMH1_HUMAN,SAMH1_HUMAN,SAMHD1,626,20.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,1.0,0.999,9,56,56,56,
Q9Y450,3463,a,sp|Q9Y450|HBS1L_HUMAN,HBS1L_HUMAN,HBS1L,684,42.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,HBS1-like protein,1.0,0.999,20,192,192,192,
Q9Y478,3464,a,sp|Q9Y478|AAKB1_HUMAN,AAKB1_HUMAN,PRKAB1,270,23.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,5'-AMP-activated protein kinase subunit beta-1,1.0,0.999,3,36,36,36,
Q9Y490,3465,a,sp|Q9Y490|TLN1_HUMAN,TLN1_HUMAN,TLN1,2541,59.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Talin-1,1.0,0.999,138,2764,2541,2764,
Q9Y4A5,3466,a,sp|Q9Y4A5|TRRAP_HUMAN,TRRAP_HUMAN,TRRAP,3859,6.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transformation/transcription domain-associated protein,1.0,0.999,16,46,46,46,
Q9Y4B6,3467,a,sp|Q9Y4B6|DCAF1_HUMAN,DCAF1_HUMAN,DCAF1,1507,5.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,DDB1- and CUL4-associated factor 1,1.0,0.999,5,17,17,17,
Q9Y4C2,3468,a,sp|Q9Y4C2|TCAF1_HUMAN,TCAF1_HUMAN,TCAF1,921,24.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,TRPM8 channel-associated factor 1,1.0,0.999,19,162,149,149,
Q9Y4C8,3469,a,sp|Q9Y4C8|RBM19_HUMAN,RBM19_HUMAN,RBM19,960,7.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Probable RNA-binding protein 19,1.0,0.999,4,48,48,48,
Q9Y4E8,3470,a,sp|Q9Y4E8|UBP15_HUMAN,UBP15_HUMAN,USP15,981,34.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin carboxyl-terminal hydrolase 15,1.0,0.999,28,288,252,288,
Q9Y4F5,3471,a,sp|Q9Y4F5|C170B_HUMAN,C170B_HUMAN,CEP170B,1589,6.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Centrosomal protein of 170 kDa protein B,1.0,0.9989,10,32,24,25,
Q9Y4G6,3472,a,sp|Q9Y4G6|TLN2_HUMAN,TLN2_HUMAN,TLN2,2542,11.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Talin-2,1.0,0.999,26,255,12,12,
Q9Y4G8,3473,a,sp|Q9Y4G8|RPGF2_HUMAN,RPGF2_HUMAN,RAPGEF2,1499,4.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Rap guanine nucleotide exchange factor 2,1.0,0.999,4,40,22,22,
Q9Y4I1,3474,a,sp|Q9Y4I1|MYO5A_HUMAN,MYO5A_HUMAN,MYO5A,1855,7.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Unconventional myosin-Va,1.0,0.999,10,27,23,24,
Q9Y4K0,3475,a,sp|Q9Y4K0|LOXL2_HUMAN,LOXL2_HUMAN,LOXL2,774,5.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Lysyl oxidase homolog 2,1.0,0.999,3,10,10,10,
Q9Y4K1,3476,a,sp|Q9Y4K1|CRBG1_HUMAN,CRBG1_HUMAN,CRYBG1,1723,40.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Beta/gamma crystallin domain-containing protein 1,1.0,0.999,49,461,461,461,
Q9Y4K3,3477,a,sp|Q9Y4K3|TRAF6_HUMAN,TRAF6_HUMAN,TRAF6,522,12.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,TNF receptor-associated factor 6,1.0,0.999,5,7,7,7,
Q9Y4K4,3478,a,sp|Q9Y4K4|M4K5_HUMAN,M4K5_HUMAN,MAP4K5,846,14.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitogen-activated protein kinase kinase kinase kinase 5,1.0,0.999,8,32,32,32,
Q9Y4P1,3479,a,sp|Q9Y4P1|ATG4B_HUMAN,ATG4B_HUMAN,ATG4B,393,16.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cysteine protease ATG4B,1.0,0.999,4,41,41,41,
Q9Y4P8,3480,a,sp|Q9Y4P8|WIPI2_HUMAN,WIPI2_HUMAN,WIPI2,454,18.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,WD repeat domain phosphoinositide-interacting protein 2,1.0,0.999,5,64,64,64,
Q9Y4R8,3481,a,sp|Q9Y4R8|TELO2_HUMAN,TELO2_HUMAN,TELO2,837,21.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Telomere length regulation protein TEL2 homolog,1.0,0.999,16,68,68,68,
Q9Y4W2,3482,a,sp|Q9Y4W2|LAS1L_HUMAN,LAS1L_HUMAN,LAS1L,734,26.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ribosomal biogenesis protein LAS1L,1.0,0.999,13,163,163,163,
Q9Y4W6,3483,a,sp|Q9Y4W6|AFG32_HUMAN,AFG32_HUMAN,AFG3L2,797,36.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,AFG3-like protein 2,1.0,0.999,28,273,263,263,
Q9Y4Y9,3484,a,sp|Q9Y4Y9|LSM5_HUMAN,LSM5_HUMAN,LSM5,91,46.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,U6 snRNA-associated Sm-like protein LSm5,1.0,0.999,2,29,29,29,
Q9Y4Z0,3485,a,sp|Q9Y4Z0|LSM4_HUMAN,LSM4_HUMAN,LSM4,139,25.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,U6 snRNA-associated Sm-like protein LSm4,1.0,0.999,4,77,77,77,
Q9Y508,3486,a,sp|Q9Y508|RN114_HUMAN,RN114_HUMAN,RNF114,228,27.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,E3 ubiquitin-protein ligase RNF114,1.0,0.999,6,47,47,47,
Q9Y512,3487,a,sp|Q9Y512|SAM50_HUMAN,SAM50_HUMAN,SAMM50,469,42.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Sorting and assembly machinery component 50 homolog,1.0,0.999,16,334,334,334,
Q9Y520,3488,a,sp|Q9Y520|PRC2C_HUMAN,PRC2C_HUMAN,PRRC2C,2896,25.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein PRRC2C,1.0,0.999,62,547,511,547,
Q9Y547,3489,a,sp|Q9Y547|IFT25_HUMAN,IFT25_HUMAN,HSPB11,144,45.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Intraflagellar transport protein 25 homolog,1.0,0.999,3,28,28,28,
Q9Y5A7,3490,a,sp|Q9Y5A7|NUB1_HUMAN,NUB1_HUMAN,NUB1,615,13.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,NEDD8 ultimate buster 1,1.0,0.999,8,37,37,37,
Q9Y5A9,3491,a,sp|Q9Y5A9|YTHD2_HUMAN,YTHD2_HUMAN,YTHDF2,579,28.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,YTH domain-containing family protein 2,1.0,0.999,13,146,105,106,
Q9Y5B0,3492,a,sp|Q9Y5B0|CTDP1_HUMAN,CTDP1_HUMAN,CTDP1,961,11.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,RNA polymerase II subunit A C-terminal domain phosphatase,1.0,0.999,8,39,35,39,
Q9Y5B6,3493,a,sp|Q9Y5B6|PAXB1_HUMAN,PAXB1_HUMAN,PAXBP1,917,9.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,PAX3- and PAX7-binding protein 1,1.0,0.999,5,26,26,26,
Q9Y5B8,3494,a,sp|Q9Y5B8|NDK7_HUMAN,NDK7_HUMAN,NME7,376,27.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nucleoside diphosphate kinase 7,1.0,0.999,9,59,59,59,
Q9Y5B9,3495,a,sp|Q9Y5B9|SP16H_HUMAN,SP16H_HUMAN,SUPT16H,1047,44.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,FACT complex subunit SPT16,1.0,0.999,50,878,869,878,
Q9Y5J1,3496,a,sp|Q9Y5J1|UTP18_HUMAN,UTP18_HUMAN,UTP18,556,28.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,U3 small nucleolar RNA-associated protein 18 homolog,1.0,0.999,12,123,123,123,
Q9Y5K5,3497,a,sp|Q9Y5K5|UCHL5_HUMAN,UCHL5_HUMAN,UCHL5,329,43.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin carboxyl-terminal hydrolase isozyme L5,1.0,0.999,12,131,131,131,
Q9Y5K8,3498,a,sp|Q9Y5K8|VATD_HUMAN,VATD_HUMAN,ATP6V1D,247,39.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,V-type proton ATPase subunit D,1.0,0.999,8,58,58,58,
Q9Y5L0,3499,a,sp|Q9Y5L0|TNPO3_HUMAN,TNPO3_HUMAN,TNPO3,923,25.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transportin-3,1.0,0.999,19,231,231,231,
Q9Y5P4,3500,a,sp|Q9Y5P4|CERT_HUMAN,CERT_HUMAN,CERT,624,19.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ceramide transfer protein,1.0,0.999,12,69,69,69,
Q9Y5P6,3501,a,sp|Q9Y5P6|GMPPB_HUMAN,GMPPB_HUMAN,GMPPB,360,36.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mannose-1-phosphate guanyltransferase beta,1.0,0.999,10,161,161,161,
Q9Y5Q8,3502,a,sp|Q9Y5Q8|TF3C5_HUMAN,TF3C5_HUMAN,GTF3C5,519,41.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,General transcription factor 3C polypeptide 5,1.0,0.999,16,73,73,73,
Q9Y5Q9,3503,a,sp|Q9Y5Q9|TF3C3_HUMAN,TF3C3_HUMAN,GTF3C3,886,35.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,General transcription factor 3C polypeptide 3,1.0,0.999,24,184,184,184,
Q9Y5S1,3504,a,sp|Q9Y5S1|TRPV2_HUMAN,TRPV2_HUMAN,TRPV2,764,25.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transient receptor potential cation channel subfamily V member 2,1.0,0.999,14,82,82,82,
Q9Y5S2,3505,a,sp|Q9Y5S2|MRCKB_HUMAN,MRCKB_HUMAN,CDC42BPB,1711,31.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine/threonine-protein kinase MRCK beta,1.0,0.999,41,409,366,409,
Q9Y5S9,3506,a,sp|Q9Y5S9|RBM8A_HUMAN,RBM8A_HUMAN,RBM8A,174,47.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,RNA-binding protein 8A,1.0,0.999,7,142,142,142,
Q9Y5U2,3507,a,sp|Q9Y5U2|TSSC4_HUMAN,TSSC4_HUMAN,TSSC4,329,19.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein TSSC4,1.0,0.999,6,92,92,92,
Q9Y5V3,3508,a,sp|Q9Y5V3|MAGD1_HUMAN,MAGD1_HUMAN,MAGED1,778,12.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Melanoma-associated antigen D1,1.0,0.999,9,87,62,62,
Q9Y5X1,3509,a,sp|Q9Y5X1|SNX9_HUMAN,SNX9_HUMAN,SNX9,595,47.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Sorting nexin-9,1.0,0.999,20,222,222,222,
Q9Y5X2,3510,a,sp|Q9Y5X2|SNX8_HUMAN,SNX8_HUMAN,SNX8,465,36.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Sorting nexin-8,1.0,0.999,11,58,58,58,
Q9Y5X9,3511,a,sp|Q9Y5X9|LIPE_HUMAN,LIPE_HUMAN,LIPG,500,9.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Endothelial lipase,1.0,0.9981,3,5,5,5,
Q9Y5Y2,3512,a,sp|Q9Y5Y2|NUBP2_HUMAN,NUBP2_HUMAN,NUBP2,271,37.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cytosolic Fe-S cluster assembly factor NUBP2,1.0,0.999,8,118,117,118,
Q9Y5Z4,3513,a,sp|Q9Y5Z4|HEBP2_HUMAN,HEBP2_HUMAN,HEBP2,205,63.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Heme-binding protein 2,1.0,0.999,10,137,137,137,
Q9Y606,3514,a,sp|Q9Y606|TRUA_HUMAN,TRUA_HUMAN,PUS1,427,47.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,tRNA pseudouridine synthase A,1.0,0.999,15,90,90,90,
Q9Y608,3515,a,sp|Q9Y608|LRRF2_HUMAN,LRRF2_HUMAN,LRRFIP2,721,19.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Leucine-rich repeat flightless-interacting protein 2,1.0,0.999,9,53,29,29,
Q9Y617,3516,a,sp|Q9Y617|SERC_HUMAN,SERC_HUMAN,PSAT1,370,46.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Phosphoserine aminotransferase,1.0,0.999,19,334,334,334,
Q9Y618,3517,a,sp|Q9Y618|NCOR2_HUMAN,NCOR2_HUMAN,NCOR2,2514,7.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nuclear receptor corepressor 2,1.0,0.999,15,45,43,45,
Q9Y624,3518,a,sp|Q9Y624|JAM1_HUMAN,JAM1_HUMAN,F11R,299,32.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Junctional adhesion molecule A,1.0,0.999,9,102,102,102,
Q9Y639,3519,a,sp|Q9Y639|NPTN_HUMAN,NPTN_HUMAN,NPTN,398,14.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Neuroplastin,1.0,0.999,6,144,144,144,
Q9Y653,3520,a,sp|Q9Y653|AGRG1_HUMAN,AGRG1_HUMAN,ADGRG1,693,13.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Adhesion G-protein coupled receptor G1,1.0,0.999,6,33,33,33,
Q9Y666,3521,a,sp|Q9Y666|S12A7_HUMAN,S12A7_HUMAN,SLC12A7,1083,16.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Solute carrier family 12 member 7,1.0,0.999,11,60,60,60,
Q9Y673,3522,a,sp|Q9Y673|ALG5_HUMAN,ALG5_HUMAN,ALG5,324,19.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Dolichyl-phosphate beta-glucosyltransferase,1.0,0.999,5,25,25,25,
Q9Y676,3523,a,sp|Q9Y676|RT18B_HUMAN,RT18B_HUMAN,MRPS18B,258,22.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,"28S ribosomal protein S18b, mitochondrial",1.0,0.999,3,15,15,15,
Q9Y678,3524,a,sp|Q9Y678|COPG1_HUMAN,COPG1_HUMAN,COPG1,874,55.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Coatomer subunit gamma-1,1.0,0.999,41,891,837,891,
Q9Y679,3525,a,sp|Q9Y679|AUP1_HUMAN,AUP1_HUMAN,AUP1,410,22.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ancient ubiquitous protein 1,1.0,0.999,7,95,95,95,
Q9Y697,3526,a,sp|Q9Y697|NFS1_HUMAN,NFS1_HUMAN,NFS1,457,47.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Cysteine desulfurase, mitochondrial",1.0,0.999,18,221,221,221,
Q9Y6A4,3527,a,sp|Q9Y6A4|CFA20_HUMAN,CFA20_HUMAN,CFAP20,193,21.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cilia- and flagella-associated protein 20,1.0,0.999,5,71,71,71,
Q9Y6A5,3528,a,sp|Q9Y6A5|TACC3_HUMAN,TACC3_HUMAN,TACC3,838,15.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transforming acidic coiled-coil-containing protein 3,1.0,0.999,7,14,14,14,
Q9Y6A9,3529,a,sp|Q9Y6A9|SPCS1_HUMAN,SPCS1_HUMAN,SPCS1,102,31.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Signal peptidase complex subunit 1,1.0,0.999,2,43,43,43,
Q9Y6B6,3530,a,sp|Q9Y6B6|SAR1B_HUMAN,SAR1B_HUMAN,SAR1B,198,58.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,GTP-binding protein SAR1b,1.0,0.999,9,157,72,72,
Q9Y6C9,3531,a,sp|Q9Y6C9|MTCH2_HUMAN,MTCH2_HUMAN,MTCH2,303,37.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitochondrial carrier homolog 2,1.0,0.999,8,169,169,169,
Q9Y6D9,3532,a,sp|Q9Y6D9|MD1L1_HUMAN,MD1L1_HUMAN,MAD1L1,718,18.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitotic spindle assembly checkpoint protein MAD1,1.0,0.999,11,31,29,29,
Q9Y6G9,3533,a,sp|Q9Y6G9|DC1L1_HUMAN,DC1L1_HUMAN,DYNC1LI1,523,53.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cytoplasmic dynein 1 light intermediate chain 1,1.0,0.999,24,359,358,359,
Q9Y6I9,3534,a,sp|Q9Y6I9|TX264_HUMAN,TX264_HUMAN,TEX264,313,26.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Testis-expressed protein 264,1.0,0.999,7,51,51,51,
Q9Y6K5,3535,a,sp|Q9Y6K5|OAS3_HUMAN,OAS3_HUMAN,OAS3,1087,25.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,2'-5'-oligoadenylate synthase 3,1.0,0.999,26,236,205,217,
Q9Y6M1,3536,a,sp|Q9Y6M1|IF2B2_HUMAN,IF2B2_HUMAN,IGF2BP2,599,45.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Insulin-like growth factor 2 mRNA-binding protein 2,1.0,0.999,26,404,313,313,
Q9Y6M5,3537,a,sp|Q9Y6M5|ZNT1_HUMAN,ZNT1_HUMAN,SLC30A1,507,20.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Zinc transporter 1,1.0,0.999,8,28,28,28,
Q9Y6N5,3538,a,sp|Q9Y6N5|SQOR_HUMAN,SQOR_HUMAN,SQOR,450,53.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Sulfide:quinone oxidoreductase, mitochondrial",1.0,0.999,21,291,291,291,
Q9Y6Q5,3539,a,sp|Q9Y6Q5|AP1M2_HUMAN,AP1M2_HUMAN,AP1M2,423,53.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,AP-1 complex subunit mu-2,1.0,0.999,19,177,137,137,
Q9Y6Q9,3540,a,sp|Q9Y6Q9|NCOA3_HUMAN,NCOA3_HUMAN,NCOA3,1424,7.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nuclear receptor coactivator 3,1.0,0.999,9,21,20,21,
Q9Y6R0,3541,a,sp|Q9Y6R0|NUMBL_HUMAN,NUMBL_HUMAN,NUMBL,609,19.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Numb-like protein,1.0,0.999,10,54,38,38,
Q9Y6R4,3542,a,sp|Q9Y6R4|M3K4_HUMAN,M3K4_HUMAN,MAP3K4,1608,4.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitogen-activated protein kinase kinase kinase 4,1.0,0.999,5,13,13,13,
